episode: 2265, score: 100.0, epsilon: 0.01
episode: 2270, score: 500.0, epsilon: 0.01
episode: 2275, score: 850.0, epsilon: 0.01
episode: 2280, score: 350.0, epsilon: 0.01
episode: 2285, score: 700.0, epsilon: 0.01
episode: 2290, score: 500.0, epsilon: 0.01
episode: 2295, score: 600.0, epsilon: 0.01
marking, episode: 2300, score: 700.0, mean_score: 585.50, std_score: 223.08
episode: 2300, score: 700.0, epsilon: 0.01
episode: 2305, score: 250.0, epsilon: 0.01
episode: 2310, score: 0.0, epsilon: 0.01
episode: 2315, score: 0.0, epsilon: 0.01
episode: 2320, score: 600.0, epsilon: 0.01
episode: 2325, score: 750.0, epsilon: 0.01
episode: 2330, score: 250.0, epsilon: 0.01
episode: 2335, score: 700.0, epsilon: 0.01
episode: 2340, score: 600.0, epsilon: 0.01
episode: 2345, score: 500.0, epsilon: 0.01
episode: 2350, score: 850.0, epsilon: 0.01
episode: 2355, score: 1000.0, epsilon: 0.01
episode: 2360, score: 0.0, epsilon: 0.01
episode: 2365, score: 450.0, epsilon: 0.01
episode: 2370, score: 0.0, epsilon: 0.01
episode: 2375, score: 500.0, epsilon: 0.01
episode: 2380, score: 500.0, epsilon: 0.01
episode: 2385, score: 750.0, epsilon: 0.01
episode: 2390, score: 850.0, epsilon: 0.01
episode: 2395, score: 750.0, epsilon: 0.01
marking, episode: 2400, score: 750.0, mean_score: 536.00, std_score: 332.57
episode: 2400, score: 750.0, epsilon: 0.01
episode: 2405, score: 500.0, epsilon: 0.01
episode: 2410, score: 500.0, epsilon: 0.01
episode: 2415, score: 750.0, epsilon: 0.01
episode: 2420, score: 250.0, epsilon: 0.01
episode: 2425, score: 750.0, epsilon: 0.01
episode: 2430, score: 750.0, epsilon: 0.01
episode: 2435, score: 750.0, epsilon: 0.01
episode: 2440, score: 600.0, epsilon: 0.01
episode: 2445, score: 2100.0, epsilon: 0.01
episode: 2450, score: 0.0, epsilon: 0.01
episode: 2455, score: 250.0, epsilon: 0.01
episode: 2460, score: 750.0, epsilon: 0.01
episode: 2465, score: 600.0, epsilon: 0.01
episode: 2470, score: 750.0, epsilon: 0.01
episode: 2475, score: 250.0, epsilon: 0.01
episode: 2480, score: 600.0, epsilon: 0.01
episode: 2485, score: 250.0, epsilon: 0.01
episode: 2490, score: 600.0, epsilon: 0.01
episode: 2495, score: 250.0, epsilon: 0.01
marking, episode: 2500, score: 750.0, mean_score: 618.00, std_score: 321.29
